point_id,point_type,easting,northing,elevation,elevation_units,horizontal_crs,vertical_datum,geoid_model,project_id,collected,source,verified
2210_2021_MN,NVA,570492.1,4884126.1,349.288,m,EPSG:6344,NAVD88,GEOID18,222538,2021-09-11,MN_Driftless_NVA_VVA_UTM15_QL1.shp field source_ele,analysis/ridgelines/ABSOLUTE_ELEVATION_REFS.md section 1a (shapefile read with pyshp; units cross-checked against USGS EPQS)
3056_2021_MN,VVA,570473.8,4884246.4,353.259,m,EPSG:6344,NAVD88,GEOID18,222538,2021-09-11,MN_Driftless_NVA_VVA_UTM15_QL1.shp field source_ele,analysis/ridgelines/ABSOLUTE_ELEVATION_REFS.md section 1a (shapefile read with pyshp; units cross-checked against USGS EPQS)
2024_2021_MN,NVA,571243.8,4887693.8,344.735,m,EPSG:6344,NAVD88,GEOID18,222538,2021-09-11,MN_Driftless_NVA_VVA_UTM15_QL1.shp field source_ele,analysis/ridgelines/ABSOLUTE_ELEVATION_REFS.md section 1a (shapefile read with pyshp; units cross-checked against USGS EPQS)
2036_2021_MN,NVA,585982.1,4884249.8,353.119,m,EPSG:6344,NAVD88,GEOID18,222538,2021-09-11,MN_Driftless_NVA_VVA_UTM15_QL1.shp field source_ele,analysis/ridgelines/ABSOLUTE_ELEVATION_REFS.md section 1a (shapefile read with pyshp; units cross-checked against USGS EPQS)
2099_2021_MN,NVA,571954.9,4893677.0,355.053,m,EPSG:6344,NAVD88,GEOID18,222538,2021-09-11,MN_Driftless_NVA_VVA_UTM15_QL1.shp field source_ele,analysis/ridgelines/ABSOLUTE_ELEVATION_REFS.md section 1a (shapefile read with pyshp; units cross-checked against USGS EPQS)
3089_2021_MN,VVA,582881.0,4894754.2,205.737,m,EPSG:6344,NAVD88,GEOID18,222538,2021-09-11,MN_Driftless_NVA_VVA_UTM15_QL1.shp field source_ele,analysis/ridgelines/ABSOLUTE_ELEVATION_REFS.md section 1a (shapefile read with pyshp; units cross-checked against USGS EPQS)
