point_id,ngv,n_disc,radius,n_below_m1,n_above_45
1111_2021_MN,0.07658505963590709,12744,7.5,0,0
1112_2021_MN,0.14684287812041116,5448,7.5,0,0
1113_2021_MN,0.061052631578947365,5700,7.5,0,0
1115_2021_MN,0.11940547762191049,5988,7.5,0,0
1116_2021_MN,0.00015997440409534473,12502,7.5,0,0
1118_2021_MN,0.01675341574495771,12296,7.5,0,0
1119_2021_MN,0.00026733202637675994,11222,7.5,0,0
1120_2021_MN,0.0016358580075249468,6113,7.5,0,0
1121_2021_MN,0.00018165304268846503,5505,7.5,0,0
1122_2021_MN,0.19397242705995513,6238,7.5,0,0
1124_2021_MN,0.00439453125,6144,7.5,0,0
1126_2021_MN,0.0017931858936043037,1673,7.5,0,0
1127_2022_MN,0.13290083410565337,5395,7.5,0,0
1128_2022_MN,0.001309880239520958,5344,7.5,0,0
1129_2022_MN,0.06657371906587661,5738,7.5,0,0
1130_2022_MN,0.00429553264604811,8148,7.5,0,0
1131_2022_MN,0.017888198757763974,8050,7.5,0,0
1132_2022_MN,0.03954195741635355,5589,7.5,0,0
1133_2022_MN,0.07361613087312155,5257,7.5,0,0
1134_2022_MN,0.0011046236389458735,6337,7.5,0,0
1135_2022_MN,0.035345157585810895,7837,7.5,0,0
1136_2022_MN,0.0,5100,7.5,0,0
1137_2022_MN,0.008926717874195557,4817,7.5,0,0
1138_2022_MN,0.03755067207168765,4687,7.5,0,0
1139_2022_MN,0.00012444001991040318,8036,7.5,0,0
1140_2022_MN,0.057023895727733524,5524,7.5,0,0
1141_2022_MN,0.005203031331297365,8841,7.5,0,0
1142_2022_MN,0.15423589018498882,8487,7.5,0,0
1143_2022_MN,0.004717551711624531,8267,7.5,0,0
1144_2022_MN,0.04227261523293074,8114,7.5,0,0
1146_2022_MN,0.057971014492753624,5451,7.5,0,0
1147_2021_MN,0.021172638436482084,1842,7.5,0,0
2001_2021_MN,0.025533108866442198,3564,7.5,0,0
2002_2022_MN,0.0,3073,7.5,0,0
2003_2021_MN,0.0027837921435199505,3233,7.5,0,0
2004_2021_MN,0.03881278538812785,3066,7.5,0,0
2005_2021_MN,0.0517386191836049,5953,7.5,0,0
2006_2022_MN,0.037212696096315216,5482,7.5,0,0
2007_2021_MN,0.01288135593220339,2950,7.5,0,0
2008_2021_MN,0.00625,3040,7.5,0,0
2009_2021_MN,0.005115089514066497,1564,7.5,0,0
2010_2022_MN,0.02460612497787219,5649,7.5,0,0
2011_2021_MN,0.0,1858,7.5,0,0
2012_2022_MN,0.07337883959044368,1758,7.5,0,0
2013_2021_MN,0.03884711779448621,1596,7.5,0,0
2014_2021_MN,0.0013689253935660506,1461,7.5,0,0
2015_2021_MN,0.05722154222766218,3268,7.5,0,0
2016_2021_MN,0.1284465366509751,1487,7.5,0,0
2017_2021_MN,0.01794905635475782,7577,7.5,22,85
2018_2021_MN,0.007007007007007007,3996,7.5,0,0
2019_2021_MN,0.0,1504,7.5,0,0
2020_2021_MN,0.04403606102635229,11536,7.5,0,0
2021_2022_MN,0.03676204273813836,5522,7.5,0,0
2022_2021_MN,0.045327754532775454,1434,7.5,0,0
2023_2021_MN,0.173421926910299,1505,7.5,0,0
2024_2021_MN,0.0,1725,7.5,0,0
2025_2021_MN,0.09854913769504517,3653,7.5,0,0
2026_2021_MN,0.0,12190,7.5,0,0
2027_2021_MN,0.05022392834293026,3126,7.5,0,0
2028_2021_MN,0.013431833445265278,1489,7.5,0,0
2029_2021_MN,0.03006614552014432,1663,7.5,0,0
2030_2021_MN,0.053306342780026994,2964,7.5,0,0
2031_2021_MN,0.0,1500,7.5,0,0
2032_2022_MN,0.1292616226071103,5485,7.5,0,0
2033_2021_MN,0.1361760660247593,1454,7.5,0,0
2034_2021_MN,0.07631359466221851,2398,7.5,0,0
2035_2021_MN,0.0,1517,7.5,0,0
2036_2021_MN,0.04540023894862605,1674,7.5,0,0
2037_2021_MN,0.06823085221143474,3708,7.5,0,0
2038_2021_MN,0.025867507886435333,1585,7.5,0,0
2039_2022_MN,0.04780361757105943,1548,7.5,7,0
2040_2021_MN,0.0,1359,7.5,0,0
2041_2022_MN,0.003915426781519186,3831,7.5,0,0
2042_2021_MN,0.14051282051282052,2925,7.5,0,0
